dgp,n,base,rival,metric,delta_mean,delta_sd,delta_p90,t_stat,p_value,n_rep_used
DGP1,250,ORF,CF,rmse,0.028489742498907716,0.07831825325655356,0.12247676791435087,1.9924441589687258,0.05581004880577148,30
DGP1,250,ORF,CF,bias,-0.1715242278055676,0.10782351388961636,-0.022159029266643437,-8.713098408566294,1.362966312500432e-09,30
DGP1,250,ORF,CF,mae,0.026724636207918206,0.06868973485759462,0.1055151303091578,2.1309859650124596,0.04169413043336019,30
DGP1,250,ORF,CF,spearman,-0.09030009704282181,0.19824575193476796,0.08148048525089087,-2.494852959650479,0.0185444818527539,30
DGP1,250,ORF,CF,gates_rmse,0.013413498180497438,0.1329893953433171,0.20270001508067242,0.5524407047303821,0.5848796339798732,30
DGP1,250,ORF,CF,pointwise_cover_rate,0.14853333333333335,0.07757520637212743,0.2180000000000001,10.48724985890999,2.2184304187797517e-11,30
DGP1,250,ORF,DML-CF,rmse,0.057878660192340815,0.06534015623023441,0.13310292720076863,4.851755737133112,3.8297588064021337e-05,30
DGP1,250,ORF,DML-CF,bias,-0.011940151214454369,0.10150062289954165,0.13298443618716835,-0.6443201995570111,0.5244318818331593,30
DGP1,250,ORF,DML-CF,mae,0.04716186344171002,0.052440624676677684,0.12417996969007539,4.925878862097365,3.116941647368195e-05,30
DGP1,250,ORF,DML-CF,spearman,-0.11893488213952857,0.20685801243996862,0.11328062592250374,-3.149180302645664,0.0037770808358780343,30
DGP1,250,ORF,DML-CF,gates_rmse,0.07063737435792514,0.11713477134763034,0.22310623991213796,3.3030058362388477,0.0025470737343991114,30
DGP1,250,ORF,DML-CF,pointwise_cover_rate,0.20759999999999998,0.07370472309761807,0.2865999999999999,15.427397072976342,1.6237625560768126e-15,30
DGP1,500,ORF,CF,rmse,0.014431542936411274,0.043790093898896314,0.0668708801580927,1.8050844156961312,0.08145482282039826,30
DGP1,500,ORF,CF,bias,-0.10694418896498094,0.06763752048106346,-0.046641948389745516,-8.660244236276318,1.5506495315227702e-09,30
DGP1,500,ORF,CF,mae,0.01662724998930778,0.034270887171034534,0.05279966274044945,2.6573925101415714,0.01267352098165706,30
DGP1,500,ORF,CF,spearman,-0.042540984826675524,0.1085455844523545,0.05832697250789009,-2.14662412346058,0.04031937653365874,30
DGP1,500,ORF,CF,gates_rmse,-0.0017483528002908825,0.08027310065292438,0.10167468934612287,-0.11929429153821465,0.9058647793262771,30
DGP1,500,ORF,CF,pointwise_cover_rate,0.1538,0.06455438765504047,0.2442,13.049419629607009,1.1510791542665478e-13,30
DGP1,500,ORF,DML-CF,rmse,0.056031213606536664,0.037537084009278486,0.10752614829095498,8.175797461812596,5.14587465300446e-09,30
DGP1,500,ORF,DML-CF,bias,-0.03869445481249775,0.06433291615701436,0.029648185742332283,-3.2943984226430163,0.0026042855265655247,30
DGP1,500,ORF,DML-CF,mae,0.049895007404159274,0.030559584143108165,0.08973850422542293,8.94273329576983,7.814730810886395e-10,30
DGP1,500,ORF,DML-CF,spearman,-0.15592133408533634,0.10244968141403714,-0.05383498973995896,-8.335958755176428,3.449530120031174e-09,30
DGP1,500,ORF,DML-CF,gates_rmse,0.008743500355062717,0.08088662662217086,0.10858210231101995,0.592064791920698,0.5583953799592232,30
DGP1,500,ORF,DML-CF,pointwise_cover_rate,0.19646666666666668,0.08396498996742562,0.2896000000000001,12.815963554920788,1.8027554793241493e-13,30
DGP1,1000,ORF,CF,rmse,-0.014747966471029146,0.03698306697129062,0.03625986916314137,-2.184187136178616,0.03718112634395953,30
DGP1,1000,ORF,CF,bias,-0.0739130569189145,0.060486569315012645,0.014953820758692562,-6.693031035999715,2.42642132801011e-07,30
DGP1,1000,ORF,CF,mae,-0.007036638232345417,0.029553228303598997,0.03691995785286792,-1.304130110343819,0.20244591481861526,30
DGP1,1000,ORF,CF,spearman,0.04414899899599598,0.0764697316369588,0.12966685466741865,3.1622188444679655,0.0036539435589331803,30
DGP1,1000,ORF,CF,gates_rmse,-0.008426230241210447,0.06736296644930595,0.06938994517718391,-0.6851296225673728,0.4987022913683892,30
DGP1,1000,ORF,CF,pointwise_cover_rate,0.15806666666666666,0.05234760036876396,0.22039999999999998,16.53880565930276,2.6362749486583592e-16,30
DGP1,1000,ORF,DML-CF,rmse,0.033880579507598325,0.031073688559730413,0.06990649880710459,5.971984182691401,1.7200908233471822e-06,30
DGP1,1000,ORF,DML-CF,bias,-0.0495077346690062,0.0485869326041271,0.01474607519960687,-5.5810279834154235,5.0551627736599605e-06,30
DGP1,1000,ORF,DML-CF,mae,0.033110042497948494,0.02863917587456282,0.06453278801486884,6.33227619241258,6.428121425757275e-07,30
DGP1,1000,ORF,DML-CF,spearman,-0.10813276853107413,0.0759631115757372,-0.00389321877287498,-7.796778633916733,1.3434425896301512e-08,30
DGP1,1000,ORF,DML-CF,gates_rmse,-0.03640634091467189,0.0599318813769618,0.06621257077428076,-3.3272064378833837,0.002392621024006089,30
DGP1,1000,ORF,DML-CF,pointwise_cover_rate,0.14486666666666667,0.06458714152658186,0.2192000000000001,12.285222613739403,5.109674167830828e-13,30
