dgp,n,method,bias_mean,bias_sd,rmse_mean,rmse_sd,rmse_p90,mae_mean,spearman_mean,gates_rmse_mean,clan_diff_x1_mean,clan_diff_x2_mean,clan_diff_sin_pi_x2_mean,clan_diff_abs_x2_m05_mean,pointwise_cover_rate_mean,pointwise_ci_len_mean,pointwise_se_cv_mean,pointwise_cover_q1_mean,pointwise_cover_q2_mean,pointwise_cover_q3_mean,pointwise_cover_q4_mean,pointwise_cover_q5_mean
DGP3,250,CF,-0.002266506867273729,0.22893002561826217,0.4349898458855753,0.0994781730382138,0.5249267034476065,0.3562063494076034,0.4499948627730795,0.23006953839012534,0.48956342239168227,-0.00904748026898066,0.01946830385343861,-0.011865933629177558,0.7771333333333333,1.1453580219389452,0.24051696553799132,0.6046666666666667,0.8453333333333332,0.8726666666666667,0.8586666666666666,0.7043333333333333
DGP3,250,DML-CF,0.05656826753734752,0.19397421077851412,0.4072567770107139,0.06675959401189419,0.4744407432404697,0.3295186720141484,0.4952750147000589,0.19742739067805046,0.4008513558977619,0.03499792740937068,0.1705174063202943,-0.08548670711362834,0.782,1.0905791995007683,0.25407512940446825,0.5306666666666666,0.871,0.9306666666666665,0.9150000000000001,0.6626666666666666
DGP3,250,ORF,0.061712288223788166,0.20952300458366138,0.4805102613771294,0.07896437325314642,0.5805794818826667,0.3865738838141344,0.3945516038064153,0.28226695043565414,0.4674505347899028,0.041725697841308654,-0.007572711399587902,0.0004879659988512845,0.9422666666666667,2.032710874851303,0.27112240537072146,0.8033333333333333,0.9796666666666667,0.9986666666666667,0.999,0.9306666666666669
DGP3,500,CF,-0.030680861018783197,0.09463576025297597,0.37704690415837,0.0401215026554831,0.42889789221936997,0.3098954078814634,0.5340311346209986,0.14169921067075636,0.5682388907293721,-0.02221464832392244,0.032062737149321126,-0.019092649387370427,0.7540666666666667,0.9566516289129582,0.26893864612562673,0.5953333333333333,0.8260000000000001,0.849,0.8236666666666667,0.6763333333333333
DGP3,500,DML-CF,-0.018567737812559777,0.14001380297371263,0.3592386413531907,0.03750411209177029,0.40536097985831304,0.29021293870511605,0.6215518206072824,0.15024480377867014,0.43009922134979794,-0.04365375379341865,0.292999858746299,-0.14022924762273922,0.7605333333333333,0.935178180340806,0.29464693704561035,0.5623333333333332,0.9003333333333331,0.945,0.8616666666666666,0.5333333333333333
DGP3,500,ORF,-0.005728171893401858,0.1405512847770922,0.40020788162287546,0.03872563417422855,0.44186588436716184,0.3236268434560967,0.507816719266877,0.18046703551163695,0.5259598430072958,-0.039730912986122704,0.05823191722433723,-0.03088937781047014,0.9316,1.5847664163434971,0.2444533883347883,0.809,0.9726666666666667,0.9986666666666666,0.9883333333333332,0.8893333333333332
DGP3,1000,CF,-0.033335737637046094,0.06980145159390819,0.34590485434759916,0.02614735052034136,0.3719644101937346,0.2857856084954997,0.5932811123244494,0.10739325791147084,0.5900107585515157,-0.028895451473246538,0.07482444588061776,-0.04027992256378992,0.7302,0.8362335128179681,0.2790828855032355,0.5856666666666667,0.8260000000000001,0.8123333333333334,0.7933333333333333,0.6336666666666666
DGP3,1000,DML-CF,-0.01616655115011577,0.09418437644674542,0.30308656332198514,0.05766211123265651,0.40195884253069747,0.2453205327566052,0.7164675986703948,0.11584865624761233,0.44768112320072684,-0.05936571478369497,0.4008344780060369,-0.18508705725410396,0.808,0.879325754814731,0.3209689464256284,0.6460000000000001,0.92,0.9386666666666665,0.8723333333333332,0.6630000000000001
DGP3,1000,DML-CF_misspec,0.01790511154817048,0.09410713529065624,0.3740530273798332,0.0493249334182241,0.44220525166588803,0.3005444597987251,0.49233512774051097,0.11231992291198416,0.3970777745840422,-0.03895634000306294,,,0.7647333333333335,0.9404315271260224,0.30277247511719285,0.513,0.8673333333333333,0.9346666666666669,0.8783333333333334,0.6303333333333332
DGP3,1000,ORF,-0.06466964692851875,0.1174686165181279,0.3620122710684132,0.04543575352665731,0.42930331245896186,0.2962554763808987,0.6018850251401006,0.14397170832117653,0.5314338920680227,-0.08653428000487047,0.16261403296792032,-0.07925403196434237,0.9220666666666667,1.364323546918619,0.27711245431021453,0.8256666666666667,0.9896666666666667,0.9966666666666666,0.964,0.8343333333333334
DGP3,1000,ORF_misspec,-0.6298587823042079,0.08855490116685957,0.7172617668913218,0.08636801142785387,0.8283114509424829,0.6473172910180907,0.5837663382653531,0.634660097319004,0.5142015331543579,-0.0609338576245698,,,0.49599999999999994,1.3414688458510655,0.30180224856429466,0.9716666666666665,0.6506666666666665,0.3460000000000001,0.277,0.23466666666666666
